Timestamp,Trial,Adj_Local_Sway_X,Adj_Local_Sway_Z,Local_Sway_Radius,Local_Sway_Jerk,Orb_Event,Reaction_Time,Movement_Time
20.083,1,0.0842,0.0011,0.0842,333.1819,None,0.000,0.000
20.111,1,0.0805,0.0037,0.0806,249.1436,None,0.000,0.000
20.139,1,0.0758,0.0070,0.0761,219.7734,None,0.000,0.000
20.167,1,0.0706,0.0108,0.0714,76.8997,None,0.000,0.000
20.195,1,0.0651,0.0157,0.0669,148.9895,None,0.000,0.000
20.223,1,0.0602,0.0204,0.0636,227.0689,None,0.000,0.000
20.251,1,0.0539,0.0246,0.0592,274.0714,None,0.000,0.000
20.278,1,0.0483,0.0286,0.0561,284.9418,None,0.000,0.000
20.306,1,0.0429,0.0330,0.0541,188.1546,None,0.000,0.000
20.334,1,0.0376,0.0370,0.0527,156.2084,None,0.000,0.000
20.361,1,0.0325,0.0406,0.0520,234.0273,None,0.000,0.000
20.389,1,0.0279,0.0430,0.0512,212.7761,None,0.000,0.000
20.417,1,0.0236,0.0454,0.0512,156.8834,None,0.000,0.000
20.445,1,0.0207,0.0472,0.0516,143.1132,None,0.000,0.000
20.473,1,0.0188,0.0488,0.0523,99.6600,None,0.000,0.000
20.501,1,0.0168,0.0495,0.0523,157.3528,None,0.000,0.000
20.529,1,0.0149,0.0499,0.0521,59.7442,None,0.000,0.000
20.557,1,0.0138,0.0505,0.0524,141.9756,None,0.000,0.000
20.584,1,0.0131,0.0513,0.0530,81.7850,None,0.000,0.000
20.612,1,0.0126,0.0518,0.0533,210.0123,None,0.000,0.000
20.640,1,0.0124,0.0519,0.0534,11.9798,None,0.000,0.000
20.668,1,0.0129,0.0523,0.0539,199.4795,None,0.000,0.000
20.696,1,0.0132,0.0527,0.0543,88.4266,None,0.000,0.000
20.723,1,0.0133,0.0526,0.0542,153.0353,None,0.000,0.000
20.751,1,0.0136,0.0526,0.0543,110.2200,None,0.000,0.000
20.780,1,0.0138,0.0526,0.0544,36.7413,None,0.000,0.000
20.807,1,0.0142,0.0526,0.0545,64.7583,None,0.000,0.000
20.835,1,0.0147,0.0526,0.0546,114.8479,None,0.000,0.000
20.863,1,0.0154,0.0526,0.0548,29.5586,None,0.000,0.000
20.890,1,0.0159,0.0524,0.0548,101.9654,None,0.000,0.000
20.919,1,0.0162,0.0523,0.0547,78.6903,None,0.000,0.000
20.946,1,0.0168,0.0523,0.0549,43.2127,None,0.000,0.000
20.974,1,0.0172,0.0520,0.0548,111.4707,None,0.000,0.000
21.002,1,0.0176,0.0517,0.0546,42.2944,None,0.000,0.000
21.030,1,0.0178,0.0515,0.0545,92.9911,None,0.000,0.000
21.058,1,0.0180,0.0513,0.0544,126.3153,None,0.000,0.000
21.088,1,0.0183,0.0509,0.0541,26.0899,None,0.000,0.000
21.113,1,0.0187,0.0506,0.0539,87.8147,None,0.000,0.000
21.141,1,0.0187,0.0504,0.0538,50.7225,None,0.000,0.000
21.169,1,0.0186,0.0502,0.0536,44.5500,None,0.000,0.000
21.197,1,0.0184,0.0499,0.0532,84.5181,None,0.000,0.000
21.225,1,0.0184,0.0495,0.0528,23.3237,None,0.000,0.000
21.253,1,0.0184,0.0491,0.0524,68.9516,None,0.000,0.000
21.281,1,0.0185,0.0488,0.0522,39.3254,Orb Spawned,0.000,0.000
21.308,1,0.0188,0.0485,0.0520,50.9065,None,0.000,0.000
21.336,1,0.0190,0.0478,0.0514,81.9606,None,0.000,0.000
21.364,1,0.0190,0.0471,0.0508,98.6204,None,0.000,0.000
21.392,1,0.0191,0.0467,0.0505,76.9456,None,0.000,0.000
21.420,1,0.0193,0.0464,0.0502,86.4188,None,0.000,0.000
21.448,1,0.0185,0.0458,0.0494,111.5856,None,0.000,0.000
21.476,1,0.0167,0.0451,0.0481,34.6077,None,0.000,0.000
21.503,1,0.0135,0.0442,0.0462,68.4002,None,0.000,0.000
21.531,1,0.0079,0.0434,0.0441,129.3568,None,0.000,0.000
21.566,1,0.0011,0.0431,0.0431,124.4166,None,0.000,0.000
21.588,1,-0.0054,0.0422,0.0425,246.8284,Movement Initiated,0.327,0.000
21.615,1,-0.0114,0.0412,0.0428,85.9000,None,0.000,0.000
21.642,1,-0.0158,0.0402,0.0432,168.6972,None,0.000,0.000
21.670,1,-0.0201,0.0383,0.0432,237.8408,None,0.000,0.000
21.698,1,-0.0234,0.0367,0.0435,236.3603,None,0.000,0.000
21.726,1,-0.0256,0.0350,0.0433,78.8520,None,0.000,0.000
21.754,1,-0.0274,0.0344,0.0439,297.4345,None,0.000,0.000
21.781,1,-0.0287,0.0345,0.0449,216.2796,None,0.000,0.000
21.809,1,-0.0316,0.0338,0.0462,404.5974,None,0.000,0.000
21.837,1,-0.0339,0.0357,0.0493,491.0188,None,0.000,0.000
21.865,1,-0.0356,0.0372,0.0515,461.4219,Hit,0.000,0.286
21.893,1,-0.0369,0.0365,0.0519,317.8848,None,0.000,0.000
21.921,1,-0.0376,0.0349,0.0513,174.8928,None,0.000,0.000
21.949,1,-0.0403,0.0353,0.0535,895.2000,None,0.000,0.000
21.977,1,-0.0425,0.0370,0.0564,393.1117,None,0.000,0.000
22.004,1,-0.0449,0.0373,0.0584,832.1406,None,0.000,0.000
22.032,1,-0.0468,0.0365,0.0594,406.1610,None,0.000,0.000
22.060,1,-0.0481,0.0367,0.0605,292.1141,None,0.000,0.000
